Sample_ID,Subject_ID,Condition,Group,System_A,System_B,System_C,System_D,System_E,Top_System,Top_System_Score,Second_System,Second_System_Score,System_C_Rank,Top_Subcategory,Top_Subcategory_Score,A4_Score,A4_Rank,C1_Score,C2_Score,C3_Score,C1_Rank,C2_Rank,C3_Rank,A_minus_C,A_minus_B,B_minus_C
GSM532819,Subject_1,Diabetes,Diabetes,0.2906654860165075,0.2624158273627561,0.2522304896396867,0.2494438043121297,0.250808756740589,A,0.2906654860165075,B,0.2624158273627561,3,A4,0.3426085265298881,0.3426085265298881,1,0.2601036264781383,0.225693347767635,0.2708944946732867,8,14,4,0.038434996376820796,0.028249658653751397,0.010185337723069399
GSM532820,Subject_2,Diabetes,Diabetes,0.2900797649424874,0.2621186905114733,0.2518442454233844,0.248985617577746,0.2504597208816325,A,0.2900797649424874,B,0.2621186905114733,3,A4,0.3416344809968403,0.3416344809968403,1,0.2587553924246433,0.2270434884358222,0.2697338554096876,8,14,4,0.03823551951910298,0.027961074431014088,0.01027444508808889
GSM532821,Subject_3,Diabetes,Diabetes,0.2723132798245833,0.2414468227223688,0.233846090846833,0.229969940746344,0.2313928638237053,A,0.2723132798245833,B,0.2414468227223688,3,A4,0.3278650550010934,0.3278650550010934,1,0.2424289442798073,0.2062577478226973,0.2528515804379945,6,14,4,0.03846718897775031,0.0308664571022145,0.00760073187553581
GSM532822,Subject_4,Diabetes,Diabetes,0.2724344839709359,0.2413188240123826,0.2337893571461711,0.2299481063990196,0.2315486504128005,A,0.2724344839709359,B,0.2413188240123826,3,A4,0.3285943489116611,0.3285943489116611,1,0.2433297977320696,0.2052922946961599,0.2527459790102839,6,14,4,0.038645126824764786,0.031115659958553282,0.007529466866211504
GSM532823,Subject_5,Diabetes,Diabetes,0.2722931269655951,0.241413356475445,0.233747943190316,0.2298316548862523,0.2314610849898571,A,0.2722931269655951,B,0.241413356475445,3,A4,0.3281150038956312,0.3281150038956312,1,0.2420270089399551,0.2064404728904938,0.2527763477404992,6,14,4,0.0385451837752791,0.030879770490150088,0.0076654132851290135
GSM532824,Subject_6,Diabetes,Diabetes,0.2703922936179567,0.2398815566249592,0.2309813782811483,0.2280123616808817,0.2299077228815541,A,0.2703922936179567,B,0.2398815566249592,3,A4,0.3253060822650964,0.3253060822650964,1,0.2399302156936356,0.2019704025560445,0.2510435165937649,6,14,4,0.039410915336808405,0.0305107369929975,0.008900178343810905
GSM532825,Subject_7,Diabetes,Diabetes,0.2720794240641375,0.2412560880286012,0.2335208895056172,0.2297672290977746,0.2315748411254618,A,0.2720794240641375,B,0.2412560880286012,3,A4,0.3276747365583771,0.3276747365583771,1,0.2424493316461128,0.205486596820927,0.2526267400498116,6,14,4,0.03855853455852029,0.030823336035536275,0.007735198522984016
GSM532826,Subject_8,Diabetes,Diabetes,0.2730056831114157,0.2421462824028921,0.2341458912230496,0.2303246115639325,0.2320020611010654,A,0.2730056831114157,B,0.2421462824028921,3,A4,0.3287818170180193,0.3287818170180193,1,0.2431689304418602,0.2060922582051606,0.2531764850221281,6,14,4,0.03885979188836611,0.03085940070852361,0.008000391179842498
GSM532827,Subject_9,Diabetes,Diabetes,0.2907195147336202,0.2625965646398286,0.2523846768820139,0.2495430884300181,0.2510655275297867,A,0.2907195147336202,B,0.2625965646398286,3,A4,0.3424294603513136,0.3424294603513136,1,0.2605684295205883,0.2257439286269805,0.2708416724984729,8,14,4,0.038334837851606296,0.028122950093791566,0.01021188775781473
GSM532828,Subject_10,Diabetes,Diabetes,0.2900112543630115,0.262178597532505,0.2516846043460276,0.2489911635617713,0.2503412762405792,A,0.2900112543630115,B,0.262178597532505,3,A4,0.3411643432104415,0.3411643432104415,1,0.2589421545608665,0.2261391216338636,0.2699725368433526,8,14,4,0.03832665001698393,0.027832656830506508,0.010493993186477424
GSM532829,Subject_11,Diabetes,Diabetes,0.2909469331299039,0.2626006379668252,0.2528312117960408,0.249935358551154,0.2509805895612083,A,0.2909469331299039,B,0.2626006379668252,3,A4,0.3423823751929177,0.3423823751929177,1,0.2608642689965264,0.2260016391313337,0.2716277272602624,8,14,4,0.038115721333863095,0.028346295163078683,0.009769426170784412
GSM532830,Subject_12,Diabetes,Diabetes,0.2912673428204261,0.2630683509602153,0.2531653111911433,0.2501666003425133,0.2517822544655851,A,0.2912673428204261,B,0.2630683509602153,3,A4,0.3428667399155285,0.3428667399155285,1,0.261328839746228,0.2263177523056579,0.271849341521544,7,14,4,0.03810203162928277,0.028198991860210798,0.009903039769071975
GSM532831,Subject_13,Diabetes,Diabetes,0.2905459126622481,0.2623909128051341,0.2522330187563159,0.2492390717286225,0.250967531915829,A,0.2905459126622481,B,0.2623909128051341,3,A4,0.3426562304092136,0.3426562304092136,1,0.2598266708594711,0.226134601788383,0.2707377836210935,8,14,4,0.03831289390593223,0.028154999857114005,0.010157894048818228
GSM532832,Subject_14,Diabetes,Diabetes,0.2911036125226575,0.262640377529069,0.2528367448459159,0.2499312894129327,0.2510154439636591,A,0.2911036125226575,B,0.262640377529069,3,A4,0.3432020848889092,0.3432020848889092,1,0.2610852614420318,0.2256836905306246,0.2717412825650912,7,14,4,0.03826686767674159,0.028463234993588493,0.009803632683153096
GSM532833,Subject_15,Diabetes,Diabetes,0.2726268857037401,0.2415928675701716,0.2340320898437762,0.2301133232241231,0.2318134660790514,A,0.2726268857037401,B,0.2415928675701716,3,A4,0.3286309186580847,0.3286309186580847,1,0.2435806636318593,0.2055506117020218,0.2529649941974475,6,14,4,0.03859479585996392,0.031034018133568514,0.007560777726395407
GSM532834,Subject_16,Diabetes,Diabetes,0.2900602516289027,0.2618026438399473,0.2515840358180929,0.2485951968496754,0.2500712346497002,A,0.2900602516289027,B,0.2618026438399473,3,A4,0.3419305650339671,0.3419305650339671,1,0.2587620931313216,0.2262173412911301,0.2697726730318269,8,14,4,0.03847621581080979,0.02825760778895542,0.01021860802185437
GSM532835,Subject_17,Diabetes,Diabetes,0.2904136630749641,0.2623300064155437,0.252079032328787,0.2492038714598003,0.2507355550179319,A,0.2904136630749641,B,0.2623300064155437,3,A4,0.3422757106066394,0.3422757106066394,1,0.2602884846445213,0.2253598452839849,0.2705887670578547,8,14,4,0.0383346307461771,0.028083656659420364,0.010250974086756737
GSM532836,Subject_18,Diabetes,Diabetes,0.2909151963300684,0.2627153449774545,0.2527456540678899,0.2498687321145845,0.2511365619635359,A,0.2909151963300684,B,0.2627153449774545,3,A4,0.3422820793391483,0.3422820793391483,1,0.2604476417463874,0.2262206679575556,0.2715686524997265,8,14,4,0.0381695422621785,0.02819985135261388,0.009969690909564621
GSM532837,Subject_19,Diabetes,Diabetes,0.2903592242736646,0.2625434602154019,0.2520578883655437,0.2493155067708505,0.2507158206780038,A,0.2903592242736646,B,0.2625434602154019,3,A4,0.3417437057255149,0.3417437057255149,1,0.2593280545223907,0.2266139110576646,0.2702316995165757,8,14,4,0.038301335908120904,0.027815764058262693,0.01048557184985821
GSM532838,Subject_20,Diabetes,Diabetes,0.2912528294151804,0.2631141137224593,0.2531916022011135,0.2502115158885985,0.2518215697020981,A,0.2912528294151804,B,0.2631141137224593,3,A4,0.3429009325976769,0.3429009325976769,1,0.2613969222353443,0.226571413497545,0.2716064708704511,7,14,4,0.038061227214066906,0.028138715692721084,0.009922511521345823
GSM532839,Subject_21,Diabetes,Diabetes,0.2913195687014159,0.2629470009362351,0.2529019114280291,0.2499984207086421,0.2515788255299508,A,0.2913195687014159,B,0.2629470009362351,3,A4,0.34375640666795,0.34375640666795,1,0.2607207959164054,0.2261669767864525,0.2718179615812294,8,14,4,0.03841765727338681,0.028372567765180823,0.010045089508205984
GSM532840,Subject_22,Diabetes,Diabetes,0.2900982098640154,0.2618987704389575,0.2516966010775052,0.248773726896239,0.2503991779052877,A,0.2900982098640154,B,0.2618987704389575,3,A4,0.3419813381485778,0.3419813381485778,1,0.2592847205635532,0.2254997617124033,0.2703053209565591,8,14,4,0.03840160878651022,0.028199439425057926,0.010202169361452296
GSM532841,Subject_23,Diabetes,Diabetes,0.2907650672150172,0.262750731288127,0.2521585718798041,0.2496150991671156,0.2509680156406071,A,0.2907650672150172,B,0.262750731288127,3,A4,0.3422118073338378,0.3422118073338378,1,0.2595768943632479,0.2259644047202297,0.2709344165559348,8,14,4,0.0386064953352131,0.028014335926890233,0.010592159408322865
GSM532842,Subject_24,Diabetes,Diabetes,0.272077793489462,0.2412460510976131,0.233390112367969,0.2297804455025767,0.2312153285013665,A,0.272077793489462,B,0.2412460510976131,3,A4,0.327479849299161,0.327479849299161,1,0.2423167632916436,0.2051576714863165,0.2526959023259471,6,14,4,0.038687681121492984,0.030831742391848882,0.007855938729644102
